,formula_charge,formula_discharge,voltage
260,VOF3,LiV4(OF3)4,4.6165357667
375,LiMn2(P2O7)2,Li2MnP2O7,4.1921341767
417,LiMo2(PO4)3,Li3Mo2(PO4)3,3.0937791842
955,Li3Mn4(PO4)6,Li3Mn2(PO4)3,4.1445023633
66,Cs2CoF6,Cs2LiCoF6,4.7019456667
631,Li(NiO2)2,LiNiO2,3.3856182167
120,K2CrF6,K2LiCrF6,5.0025161367
1037,Ni3O4,LiNi3O4,3.5124175233
322,FePO4,LiFePO4,3.1884541617
1098,VF4,LiVF4,4.2108963858
704,Ti16CuS32,Li8Ti16CuS32,2.0207439546
787,Co3TeO8,Li2Co3TeO8,3.6738656383
762,FeCu(PO4)2,Li2FeCu(PO4)2,3.7321333358
691,Cr3(NiO6)2,Li3Cr3(NiO6)2,4.1551240183
496,LiV2O4,LiVO2,2.4813867217
236,V3OF11,LiV3OF11,4.5112981367
331,V2H2O5,LiV2H2O5,2.6913223767
924,Mo2PO8,LiMo2PO8,3.2660839783
1203,CoPO4,LiCoPO4,4.3859941983
873,MnFeCo(PO4)3,Li3MnFeCo(PO4)3,3.771642185
1150,LiMnF5,Li2MnF5,5.1913782333
612,LiMnVO4,Li2MnVO4,2.5060384367
282,MnFe3(PO4)4,Li4MnFe3(PO4)4,3.5630542129
641,VS2,Li(VS2)2,1.9038981467
264,Li2VOF5,Li3VOF5,4.1096126067
771,Li4Mn3Co2Ni3O16,Li10Mn3Co2Ni3O16,2.837011995
52,YbTiCdSbO7,LiYb4Ti4Cd4(SbO7)4,3.5381293967
886,Mn3Fe(PO4)4,Li4Mn3Fe(PO4)4,3.7152089058
178,Mn3Cu3(TeO8)2,Li4Mn3Cu3(TeO8)2,4.0222660442
605,Mn5O8,LiMn5O8,3.0870344867
1043,Li6(NiO2)5,Li8(NiO2)5,2.6903294383
806,Cr3(CuO6)2,Li3Cr3(CuO6)2,4.0587539042
103,Li3CoNi3O8,Li4CoNi3O8,3.6005756067
558,Mn3CrO8,LiMn3CrO8,3.9862555367
199,Eu6WO12,LiEu6WO12,2.2006358467
403,LiMnV4O12,Li3MnV4O12,3.4533543817
557,CrF6,LiCrF6,6.1364763167
353,Li3Mn3O8,Li4Mn3O8,3.7406368167
1033,CrP2O7,LiCrP2O7,4.7253796958
1075,Li2VFe(P2O7)2,Li3VFe(P2O7)2,2.9555278733
287,Li3MnFe3O8,Li4MnFe3O8,2.7240205867
193,Cu(SnS2)4,LiCu(SnS2)4,1.7875667767
918,Mo2P3O13,LiMo2P3O13,3.8263860383
1214,Li(CoO2)2,Li2CoO2,2.4205801267
188,Ta2CuO6,LiTa2CuO6,3.2174453767
1001,V3(OF3)2,LiV3(OF3)2,3.3444100883
812,Mn2(SO4)3,LiMn2(SO4)3,4.3411585908
1275,VP2O7,LiVP2O7,3.4870440633
302,LiFeSiO4,Li2FeSiO4,2.8148166542
3,Cr2AgS4,LiCr4(AgS4)2,2.0882747367
1054,TiS2,Li(TiS2)3,1.9795478233
575,LiMnF4,Li2MnF4,4.0192281567
389,Sr3Mn4O12,Sr3LiMn4O12,4.0210533767
117,TiCo3O8,Li3TiCo3O8,3.73334711
515,MnCo3O8,LiMnCo3O8,4.2097556467
682,VPO5,LiVPO5,3.6795729942
513,Li2Mn3(CoO4)3,Li2MnCoO4,3.1017348042
600,Mn3NiO8,Li2Mn3NiO8,4.1654564567
673,MnO2,LiMn2O4,3.8393154817
418,Mo2P3O13,LiMo2P3O13,3.8774898217
1003,V2OF5,LiV2OF5,3.4890903358
384,LiMn2(PO4)2,LiMnPO4,3.9772278617
613,MnS2,Li(MnS2)2,1.9129283117
596,FePO4,LiFePO4,3.3106804342
453,LiTiNiO4,Li2TiNiO4,3.7100865192
721,Mn3Cr2Sb3O16,Li4Mn3Cr2Sb3O16,3.3367255408
1238,VOF3,LiVOF3,4.2933786108
1067,Li2Ti(FeO3)2,Li3Ti(FeO3)2,2.3058045
1172,V2(SO4)3,Li2V2(SO4)3,3.1390785883
31,Ba2YbSbO6,Ba2LiYbSbO6,1.9820790167
323,Ti3FeS6,LiTi6(FeS6)2,1.7553684867
848,Li2Cr3(CO3)6,Li4Cr3(CO3)6,3.3509051833
324,Sr2MnGaO5,Sr4LiMn2(GaO5)2,1.8849922567
696,V3Cr(PO4)6,Li6V3Cr(PO4)6,3.4945057
844,Li2FeBAsO7,Li3FeBAsO7,4.0179841083
1232,LiVOF3,Li2VOF3,3.2578156633
84,LiFeCo3O8,Li3FeCo3O8,3.4741138867
1239,LiVOF3,Li2VOF3,3.2260034283
43,Fe2(CO3)3,LiFe2(CO3)3,3.4638906567
892,Li2MnCr3O8,Li5MnCr3O8,2.4426635817
1063,Li2Mn3(FeO4)3,Li4Mn3(FeO4)3,3.6499359033
847,Li2VBPO7,Li3VBPO7,3.1007107233
12,AgSnF6,LiAgSnF6,5.0014079667
140,Mn3Cr3(WO8)2,Li4Mn3Cr3(WO8)2,3.3844617242
226,LiV2P2(O4F)2,Li2VPO4F,2.5248068417
245,Li2VO3F,Li3VO3F,3.0051333817
1106,VF4,Li2VF4,3.2970426958
629,NiS2,Li(NiS2)2,1.8956514817
1085,MnNb4O12,Li3MnNb4O12,3.0000058383
520,MnF3,LiMnF3,4.2529909267
202,Li3Cu(PO4)2,Li4Cu(PO4)2,4.0495207517
968,MnPO4,LiMnPO4,3.8407628367
701,V3CoO8,Li2V3CoO8,3.5123177658
68,CoCu3(PO4)4,Li4CoCu3(PO4)4,4.2038423517
22,Ba3Ti3(BO6)2,Ba3LiTi3(BO6)2,1.2607676267
684,V(SiO3)2,LiV2(SiO3)4,2.6166810617
535,MnFeCo(PO4)3,Li3MnFeCo(PO4)3,3.8600474225
219,LiMnPO4F,Li3Mn2P2(O4F)2,3.8710829442
1022,VOF3,LiVOF3,4.4524887133
475,VP2O7,LiV2(P2O7)2,3.6036614067
893,Mn3CrO8,Li2Mn3CrO8,3.7060271358
1129,VF5,LiVF5,4.8677372108
471,ThTi2O6,LiThTi2O6,0.5659508067
482,LiTi3VO8,Li2Ti3VO8,1.9709608442
283,LiMn3FeO8,Li2Mn3FeO8,3.8008151867
970,Mn4P7O24,LiMn4P7O24,4.3672867683
1176,V(SO4)2,LiV(SO4)2,4.68184435
754,Co(NiO2)4,Li3Co(NiO2)4,3.7129479633
872,LiMnPO4F,Li2MnPO4F,3.9609948446
1051,TiS2,Li(TiS2)2,1.9234833233
54,Cs2MoCl6,Cs2LiMoCl6,2.2017898367
995,Li3MnV(PO4)3,Li4MnV(PO4)3,3.0309761983
1212,Mn2OF3,LiMn2OF3,3.0026829633
495,LiV5O12,Li3V5O12,3.2702827167
1267,V2P5O16,LiV2P5O16,3.7709654233
1151,Li5VF8,Li6VF8,2.1295982033
395,LiTiMn3O8,Li3TiMn3O8,3.2094733767
49,CrCdF6,LiCrCdF6,4.9522239267
1112,VF5,LiVF5,4.8070949608
494,LiV5O12,Li3V5O12,3.3244505167
346,Li2Mn(NiO3)2,Li3Mn(NiO3)2,3.6702382517
658,VO2,LiV3O6,2.9512445767
1089,Li(TiTe2)2,LiTiTe2,1.1765271133
1042,Li4(NiO2)5,Li6(NiO2)5,3.0754646433
1258,V3O7,Li2V3O7,3.2735610533
82,Li3Fe3CoO8,Li4Fe3CoO8,3.3381687467
817,TiMnO4,Li2TiMnO4,2.8863528496
734,CrNi5(PO4)6,Li4CrNi5(PO4)6,4.2705548783
874,MnFeCo(PO4)3,Li3MnFeCo(PO4)3,3.7751618625
207,LiFe2S2(O4F)2,LiFeSO4F,3.7719517067
1073,VFe(P2O7)2,LiVFe(P2O7)2,4.4221128283
234,V3O5F3,LiV3O5F3,3.9893145217
211,K2MnF6,K2LiMnF6,3.7225870767
1029,Cr2P5O16,LiCr2P5O16,4.6542981233
597,Fe2(SO4)3,Li2Fe2(SO4)3,3.6688241942
822,Li2MnV3O8,Li3MnV3O8,2.3632734733
1127,Li2VF6,Li3VF6,3.904191065
1195,LiTi2(PO4)3,Li2Ti2(PO4)3,2.1909824708
497,TiSeS,LiTiSeS,1.6577014867
486,Li2TiV3O8,Li3TiV3O8,2.2505364067
969,MnP2O7,Li2MnP2O7,4.0279598096
798,LiCo(CO3)2,Li2Co(CO3)2,4.0248487358
190,V3CuO8,Li2V3CuO8,3.4621517229
1211,Mn5OF11,Li3Mn5OF11,3.7901526
746,V(CO3)2,Li2V(CO3)2,3.0426505758
523,NiF3,LiNiF3,5.9103083567
181,LiMn3CuO8,Li2Mn3CuO8,3.9326733667
1074,LiVFe(P2O7)2,Li2VFe(P2O7)2,3.9054518733
42,LiFe2(CO3)4,LiFe(CO3)2,4.4259304267
710,Cu2(SO4)3,Li2Cu2(SO4)3,4.8235295252
413,LiMo(PO4)2,Li2Mo(PO4)2,3.7408903417
556,Li3(CoS2)4,LiCoS2,1.9788464567
599,V3H5O8,LiV3H5O8,2.8959271767
445,Li2(NiO2)5,Li4(NiO2)5,3.6199192417
830,LiTi2Mn3O10,Li2Ti2Mn3O10,3.3308476233
1028,CrP2O7,LiCrP2O7,4.6366786183
461,ThV2PbO8,LiThV2PbO8,1.6413839767
1061,VFe(PO4)2,Li2VFe(PO4)2,2.9542412558
1186,Li2Ti2VO6,Li3Ti2VO6,1.5145997033
299,SrFe2(SeO3)4,SrLiFe2(SeO3)4,2.6769664367
689,CrS2,Li(CrS2)2,2.5596757033
76,Cr(CoO3)2,Li2Cr(CoO3)2,3.8429861842
63,Mn2Cr3Co3O16,Li4Mn2Cr3Co3O16,3.9111738917
1111,LiVF4,Li2VF4,2.5353078533
437,YbNbO4,LiYb2Nb2O8,3.4369184967
191,VCuO4,LiVCuO4,3.8582622317
1034,CrPO4,LiCrPO4,2.4036610158
500,Ti3VS6,LiTi3VS6,1.5562353367
64,Mn3Cr3(CoO8)2,Li4Mn3Cr3(CoO8)2,3.9803382442
827,Li2MnV3O8,Li5MnV3O8,1.8047915883
770,FeCo3(PO4)4,Li4FeCo3(PO4)4,4.1223113608
416,Mo2(PO4)3,LiMo2(PO4)3,3.5593437017
1122,Li2VF6,Li3VF6,3.7194583033
1048,CoP2O7,LiCoP2O7,4.5992697658
504,Mn3Co5O16,Li4Mn3Co5O16,4.0348652392
502,Mn2Co5O12,Li4Mn2Co5O12,3.5976566029
528,Li3Fe2(CO4)2,Li2FeCO4,2.5527220367
1292,Li7V8(PO4)12,Li11V8(PO4)12,3.3630380508
871,TiFe2Ni3(PO4)6,Li4TiFe2Ni3(PO4)6,3.8733945583
927,MoP2O7,LiMoP2O7,3.4354593333
159,CsFe(SO4)2,CsLiFe(SO4)2,3.0262384142
961,Mn5(P3O11)2,Li4Mn5(P3O11)2,3.7668231208
1154,Mn2F7,LiMn2F7,5.4794675533
338,K3VO4,K3LiVO4,0.6674351067
900,Mn7Cr12O48,Li9Mn7Cr12O48,4.2479988
860,FeCl4,Li2FeCl4,3.3946357633
1095,VF3,LiVF3,2.3023131458
714,LiCu2(SO4)3,Li3Cu2(SO4)3,3.9615790846
1010,Li3V4(OF3)3,Li4V4(OF3)3,2.0608537333
1246,LiFeP2O7,Li2FeP2O7,3.2707459483
25,Li3Mn2Fe(BO3)4,Li4Mn2Fe(BO3)4,2.9132840467
518,Mn2F5,LiMn2F5,4.2900589867
1201,LiCoP2O7,Li2CoP2O7,4.4196538808
750,V(CO3)2,LiV(CO3)2,3.5484686058
703,LiVCr(P2O7)2,Li2VCr(P2O7)2,3.9208839183
457,Ti4NiS8,LiTi4NiS8,1.7851520267
94,La4CoO8,LiLa4CoO8,3.6897893667
255,VOF3,LiV4(OF3)4,4.6351638967
1243,LiMnV(PO4)3,Li2MnV(PO4)3,4.1413965283
56,EuTiClO3,LiEu2Ti2(ClO3)2,3.4660265167
688,FeCu3(PO4)4,Li4FeCu3(PO4)4,3.8946592308
376,MnP2O7,LiMnP2O7,4.4338786517
298,TlFe(SO4)2,LiTlFe(SO4)2,3.0635089267
668,TiO2,LiTi4O8,1.8173588567
718,Li4(CuO2)3,Li2CuO2,2.5692792783
88,Li4FeCo9O20,Li8FeCo9O20,3.5124864117
1148,MnF4,LiMnF4,5.8058652883
410,Ta3MnS6,LiTa6(MnS6)2,1.9916991967
882,Li3Mn2P2(O4F)2,Li2MnPO4F,3.7117647783
869,Mn3Fe2Sn(PO4)6,Li4Mn3Fe2Sn(PO4)6,3.4395068233
216,Li2MnF5,Li3MnF5,3.9408589742
406,MnV3(PO4)6,Li6MnV3(PO4)6,3.660662975
1294,Ni4P4O15,Li2Ni4P4O15,4.4715236596
83,FeCo5O12,Li4FeCo5O12,3.8278382567
1036,CrPO4,LiCrPO4,2.4006511183
1055,Mn3Fe(PO4)6,Li6Mn3Fe(PO4)6,4.353640885
476,VPO4,LiVPO4,2.2924796692
1072,Mn3Sb(PO4)4,Li4Mn3Sb(PO4)4,3.1065945983
1032,Cr6P7O24,LiCr6P7O24,2.7342789733
286,Li4Mn5Fe3O16,Li10Mn5Fe3O16,2.2623148483
218,MnPO4F,LiMnPO4F,4.5061612654
332,In4SnS8,LiIn4SnS8,2.1323648267
246,Li3VO3F2,Li4VO3F2,2.8690955542
110,Li17(CoO4)4,Li5CoO4,2.6275873667
1045,CoP2O7,LiCoP2O7,4.9133347033
380,MnPO4,LiMnPO4,3.7075560117
1107,LiV2F7,Li2V2F7,2.3400583733
648,V2O5,LiV2O5,3.6378831042
114,Ti3Co3(TeO8)2,Li4Ti3Co3(TeO8)2,3.6470967117
